Name,Team,date,GA1,GA2,GA3,GA
김지용,LG,05월 19일,1,3,0,0
김지용,LG,05월 20일,3,0,0,1
김지용,LG,05월 22일,0,0,1,0
김지용,LG,05월 27일,0,1,0,0
김지용,LG,06월 02일,1,0,0,0
김지용,LG,06월 08일,0,0,0,0
김지용,LG,06월 13일,0,0,0,0
김지용,LG,06월 16일,0,0,0,0
김지용,LG,06월 19일,0,0,0,0
김지용,LG,06월 21일,0,0,0,3
김지용,LG,06월 22일,0,0,3,0
김지용,LG,06월 24일,0,3,0,0
김지용,LG,06월 30일,3,0,0,1
김지용,LG,07월 07일,0,0,1,2
김진성,NC,04월 28일,1,0,0,0
김진성,NC,05월 20일,0,0,0,11
김진성,NC,06월 21일,0,0,11,0
김진성,NC,06월 22일,0,11,0,0
김진성,NC,06월 26일,11,0,0,0
김진성,NC,06월 29일,0,0,0,2
김진성,NC,07월 03일,0,0,2,0
김진성,NC,07월 06일,0,2,0,1
김진성,NC,07월 07일,2,0,1,1
김진성,NC,07월 10일,0,1,1,0
김진성,NC,07월 12일,1,1,0,0
김태훈,SK,04월 17일,0,2,2,1
김태훈,SK,04월 20일,2,2,1,4
김태훈,SK,04월 25일,2,1,4,2
김태훈,SK,04월 28일,1,4,2,0
김태훈,SK,05월 03일,4,2,0,6
김태훈,SK,05월 09일,2,0,6,0
김태훈,SK,05월 16일,0,6,0,0
김태훈,SK,05월 18일,6,0,0,1
김태훈,SK,05월 20일,0,0,1,1
김태훈,SK,05월 23일,0,1,1,1
김태훈,SK,05월 27일,1,1,1,1
김태훈,SK,06월 01일,1,1,1,0
김태훈,SK,06월 03일,1,1,0,0
김태훈,SK,06월 06일,1,0,0,0
김태훈,SK,06월 08일,0,0,0,0
김태훈,SK,06월 10일,0,0,0,0
김태훈,SK,06월 12일,0,0,0,1
김태훈,SK,06월 14일,0,0,1,0
김태훈,SK,06월 22일,0,1,0,0
김태훈,SK,06월 23일,1,0,0,2
김태훈,SK,06월 30일,0,0,2,0
김태훈,SK,07월 08일,0,2,0,0
김태훈,SK,07월 10일,2,0,0,0
김태훈,SK,07월 12일,0,0,0,0
남윤성,SK,07월 03일,1,0,0,0
