Name,Team,date,2B,3B,ERA,K/BB,OPS,WHIP,IBB,BB,HBP,K,GS,S,W,HIT,SO,CG,INNING,ER,GP,BF,BA,PA,PITCH,L,HOLD,HR,GA
강윤구,NC,2017년 07월 13일,1.5,0.0,5.28,nan,1.0261,1.441,0.0,0.6,0.7,3.0,0.8,0.0,0.2,3.6,0.0,0.0,3.24,1.6,1.0,12.8,0.298,14.1,51.7,0.0,0.0,0.8,2
강윤구,NC,2017년 07월 21일,0.4,0.0,5.4,nan,0.8991,0.81,0.0,0.1,0.2,3.8,0.2,0.0,0.1,2.5,0.0,0.0,3.21,1.8,1.0,12.0,0.2098,12.3,40.2,0.0,0.0,1.6,1
강윤구,NC,2017년 07월 25일,0.2,0.0,6.525,nan,1.0884,1.317,0.0,0.7,0.1,2.5,0.1,0.0,0.0,1.5,0.0,0.0,1.67,1.3,1.0,6.9,0.2097,7.7,27.7,0.0,0.0,1.2,0
강윤구,NC,2017년 08월 04일,0.0,0.0,1.95,nan,0.3175,0.367,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.0,1.22,0.4,1.0,4.2,0.0582,4.4,18.6,0.0,0.0,0.4,0
강윤구,NC,2017년 08월 05일,0.0,0.0,0.675,nan,0.5683,1.55,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,1.01,0.1,1.0,3.9,0.195,4.7,19.4,0.0,0.0,0.1,0
강윤구,NC,2017년 08월 08일,0.7,0.0,0.0,nan,0.55,0.925,0.0,0.2,0.0,1.4,0.0,0.0,0.0,0.9,0.0,0.0,1.07,0.0,1.0,4.6,0.19,4.8,21.6,0.0,0.0,0.0,2
강윤구,NC,2017년 08월 12일,0.2,0.0,2.52,nan,0.5791,1.19,0.0,0.8,0.0,4.6,0.7,0.0,0.0,3.8,0.0,0.0,3.82,1.4,1.0,14.7,0.2491,16.2,61.2,0.7,0.0,0.0,0
강윤구,NC,2017년 08월 15일,0.1,0.0,0.72,nan,0.1726,0.315,0.0,0.2,0.0,2.8,0.2,0.0,0.0,1.1,0.0,0.0,1.81,0.4,1.0,6.4,0.0726,6.8,29.1,0.2,0.0,0.0,0
강윤구,NC,2017년 08월 16일,0.0,0.0,0.36,nan,0.0563,0.12,0.0,0.1,0.0,1.7,0.1,0.0,0.0,0.5,0.0,0.0,0.84,0.2,1.0,3.9,0.0263,4.1,15.9,0.1,0.0,0.0,0
강윤구,NC,2017년 08월 20일,0.0,0.0,0.0,nan,0.455,1.4,0.0,0.7,0.0,0.4,0.0,0.0,0.0,0.7,0.0,0.0,0.84,0.0,1.0,3.5,0.175,4.2,16.3,0.0,0.0,0.0,3
강윤구,NC,2017년 08월 27일,0.0,0.0,8.099,nan,1.0211,1.597,0.0,0.2,0.0,1.5,0.7,0.0,0.0,3.0,0.0,0.0,1.69,2.1,1.0,8.7,0.3048,8.9,36.0,0.0,0.0,1.4,0
강윤구,NC,2017년 08월 30일,0.0,0.0,2.314,nan,0.3196,0.542,0.0,0.1,0.0,1.1,0.2,0.0,0.7,0.9,0.0,0.0,1.29,0.6,1.0,5.4,0.0978,5.5,21.4,0.0,0.0,0.4,0
강윤구,NC,2017년 09월 15일,0.0,0.0,1.157,nan,0.4773,0.871,0.0,0.0,0.0,1.1,0.1,0.0,0.2,1.1,0.0,0.0,1.13,0.3,1.0,4.7,0.2114,4.7,15.2,0.0,0.0,0.2,2
강윤구,NC,2017년 09월 17일,0.0,0.0,9.45,nan,1.0625,2.3,0.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,0.0,1.08,1.4,1.0,6.8,0.4,6.8,26.8,0.0,0.0,0.7,0
강장산,NC,2015년 04월 12일,0.0,0.0,3.6,0.7,0.4475,1.6,0.1,1.1,0.2,0.7,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.4,1.0,3.4,0.11,4.8,20.9,0.0,0.0,0.0,2
강장산,NC,2015년 04월 15일,0.7,0.0,4.68,nan,0.5023,1.03,0.0,0.3,0.1,0.2,0.0,0.0,0.0,2.2,0.0,0.0,2.47,1.5,1.0,10.1,0.1867,10.5,34.6,0.0,0.0,0.0,0
강장산,NC,2015년 04월 17일,0.2,0.0,1.08,nan,0.4828,0.805,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.3,0.0,0.0,1.49,0.4,1.0,5.7,0.2212,5.8,18.7,0.0,0.0,0.0,1
강장산,NC,2015년 06월 07일,0.8,0.0,6.84,nan,0.7839,1.64,0.0,0.7,0.0,0.7,0.0,0.0,0.0,1.2,0.0,0.0,1.23,0.9,1.0,4.9,0.2481,5.6,22.6,0.0,0.0,0.0,0
강장산,NC,2015년 06월 24일,0.2,0.0,1.8,nan,0.23,0.475,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,1.01,0.2,1.0,3.3,0.075,3.5,17.7,0.0,0.0,0.0,1
강장산,NC,2015년 06월 27일,0.8,0.0,7.2,nan,0.72,1.6,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.8,1.0,3.8,0.2,4.6,24.6,0.0,0.0,0.0,1
강장산,NC,2015년 07월 03일,0.2,0.0,8.1,nan,0.8597,3.2,0.0,1.6,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.0,0.9,1.0,4.6,0.33,6.2,26.0,0.0,0.0,0.0,0
