Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
신본기,롯데,04월 06일,0.1,0,0.795,0,0,0,1.6,0,0.2,0,1.1,1.5,0.4,0.395,5,4.8,0.375,0.1,0,0,0,1
신본기,롯데,04월 07일,0.9,0,0.885,0,0,0,2.2,0.9,0.1,0,1.2,1.3,0.55,0.335,4.9,4.8,0.325,0.9,0,0,0,1
신본기,롯데,04월 10일,0.2,0,1.1,0,0,0,2.3,0.2,0,0,1.2,2.1,0.575,0.525,4.8,4.8,0.525,0.2,0,0,0,1
신본기,롯데,04월 11일,1,0,1.4,0,0,0,3.3,0.1,0,0,1.2,2.3,0.825,0.575,4.8,4.8,0.575,0.1,0,0,0,0
신본기,롯데,04월 12일,1.1,0,1.61,0,0,0,4.4,0.9,0,0,0.3,3.3,0.92,0.69,5.7,5.7,0.69,3.6,0,0,0,0
신본기,롯데,04월 13일,0.3,0,0.855,0,0,0,2,0.2,0,0,1,1.7,0.46,0.395,5,5,0.395,0.8,0,0,0,1
신본기,롯데,04월 17일,1,0,0.78,0,0,0,2.4,0.1,0,0,2,1.4,0.49,0.29,5.8,5.8,0.29,0.4,0,0,0,0
신본기,롯데,04월 18일,0.2,0,0.17,0,0,0,0.5,0.9,0,0,1.4,0.3,0.105,0.065,5.9,5.9,0.065,0,0,0,0,1
신본기,롯데,04월 19일,0.1,0,1.32,0,0,0.9,4.7,0.2,0,0,2.2,1.9,0.94,0.38,6,6,0.38,0.9,0.9,0,0,0
신본기,롯데,04월 20일,0,0,0.73,0,0,0.2,1.9,0.1,0,0,0.5,1.3,0.425,0.305,5.1,5.1,0.305,0.2,0.2,0,0,1
신본기,롯데,04월 22일,0.9,0,1.815,0,0,0.1,4.3,0,0,0,1.1,3.1,1.05,0.765,4.9,4.9,0.765,3.7,0.1,0,0,0
